SECNO,REGION,STATE,STATION,LAT,LATITUDE,LONG,LUNIT,LONGITUD,VEGTAT,VEG,SOIL,SOIL2,CMAT,CRR,MCM,MWM,RHIGH,RLOW,RRCORR,TJAN,TFEB,TMAR,TAPR,TMAY,TJUN,TJUL,TAUG,TSEP,TOCT,TNOV,TDEC,TUNIT,RJAN,RFEB,RMAR,RAPR,RMAY,RJUN,RJUL,RAUG,RSEP,ROCT,RNOV,RDEC,RUNIT,ELEV,ELUNIT,COKLM,VEGNU
A,B,CHILE,IQUIQUE,S,20.2167,W,DD,70.1500,D,,H,,17.9306,2.0320,15.3889,20.8889,1.0160,0.0000,6.0000,20.8889,20.7778,19.7222,18.2778,17.2222,16.0000,15.3889,15.3889,16.1111,17.1111,18.5000,19.7778,C,0.0000,0.0000,0.0000,0.0000,0.0000,1.0160,1.0160,0.0000,0.0000,0.0000,0.0000,0.0000,MM,1689.00,FT,2.00,21.00
A,B,CHILE,LOS_ANGEL,S,37.4667,W,DD,72.3500,FBO,,U,,13.9028,1302.5120,8.1111,21.5000,249.9360,23.8760,5.0000,21.5000,19.7778,16.8889,13.8889,10.2222,8.2778,8.1111,8.7778,11.1111,13.2778,15.7222,19.2778,C,25.9080,27.9400,42.9260,86.1060,234.9500,249.9360,214.8840,188.9760,102.1080,59.9440,44.9580,23.8760,MM,524.00,FT,64.00,12.00
A,B,CHILE,POTRERILL,S,26.5000,W,DD,69.4500,D,TA,H,,11.5093,43.9928,7.7222,14.3889,11.9380,0.0254,4.0000,13.6111,14.3889,13.1111,12.1111,11.8333,7.7222,8.2222,8.5000,10.0000,11.5000,13.1111,14.0000,C,1.0160,2.0320,2.0320,2.0320,7.8740,11.9380,7.8740,6.0960,1.0160,2.0320,0.0254,0.0254,MM,9347.00,FT,170.00,28.00
A,B,CHILE,SANTIAGO,S,33.4500,W,DD,70.7000,FBO,FSS,H,,13.9213,331.4700,8.1111,19.8889,70.1040,3.0480,4.0000,19.8889,19.2222,17.2222,13.8889,10.7778,8.3889,8.1111,9.2778,11.3889,13.7222,16.3889,18.7778,C,3.0480,5.0800,5.0800,18.0340,70.1040,68.0720,60.9600,57.9120,21.0820,12.9540,6.0960,3.0480,MM,1705.00,FT,111.00,23.00
A,B,CHILE,SAN_PEDRO,S,47.7167,W,DD,74.9167,FBD,,H,,8.0926,4477.5120,5.5000,11.2222,421.1320,295.9100,2.0000,11.1111,11.2222,9.8889,8.7222,6.7778,5.7778,5.5000,5.6111,6.5000,6.7222,9.0000,10.2778,C,395.9860,372.6180,419.1000,421.1320,413.5120,389.8900,382.2700,295.9100,312.4200,350.7740,347.2180,376.6820,MM,72.00,FT,2.00,12.00
A,B,CHILE,TALTAL,S,25.4200,W,DD,70.5700,D,,D,H,17.6574,25.7048,13.3889,21.7778,6.0960,0.0254,4.0000,21.7778,21.7778,20.2778,18.2778,17.2222,14.6111,13.3889,14.7222,15.5000,17.0000,17.7222,19.6111,C,0.2540,0.0254,0.0254,0.5080,2.5400,6.0960,5.8420,5.5880,2.0320,1.7780,0.7620,0.2540,MM,128.00,FT,34.00,28.00
A,B,COLOMBIA,ANDAGOYA,N,5.0833,W,DD,76.7167,FMT,,O,,27.3796,6816.5980,27.0000,27.7222,649.9860,499.8720,1.0000,27.1111,27.5000,27.6111,27.7222,27.6111,27.2222,27.3889,27.5000,27.3889,27.3889,27.0000,27.1111,C,536.9560,532.8920,537.9720,607.0600,649.9860,628.9040,600.9640,580.8980,575.0560,543.0520,522.9860,499.8720,MM,196.00,FT,78.00,1.00
A,B,COLOMBIA,BERTHA_MO,N,5.8833,W,DD,73.4333,SW,FE,U,,17.9722,1898.1420,17.6111,18.3889,273.0500,50.0380,0.1000,17.7222,18.2778,18.3889,18.2778,18.3889,17.7778,17.6111,17.7222,17.7222,18.0000,18.0000,17.7778,C,50.0380,67.0560,140.9700,247.9040,273.0500,189.9920,137.9220,146.0500,163.0680,240.0300,160.0200,82.0420,MM,5785.00,FT,410.00,3.00
A,B,COLOMBIA,BOGOTA_OB,N,7.0667,W,DD,70.7333,SW,,O,,14.1898,939.2920,13.5000,14.8889,156.9720,37.0840,6.0000,13.8889,14.2778,14.8889,14.8889,14.7222,14.2222,13.5000,13.7778,13.8889,14.1111,14.0000,14.1111,C,38.1000,48.0060,66.0400,96.0120,103.1240,59.9440,48.0060,37.0840,53.0860,156.9720,139.9540,92.9640,MM,8396.00,FT,466.00,3.00
A,B,COLOMBIA,CERETE,N,8.8833,W,DD,75.7833,FE,,U,,28.0278,989.5840,27.5000,28.8889,169.9260,7.8740,5.0000,28.1111,28.3889,28.6111,28.8889,28.0000,27.8889,28.0000,28.1111,27.7222,27.5000,27.5000,27.6111,C,7.8740,9.9060,24.8920,65.0240,56.8960,144.0180,122.9360,166.8780,169.9260,115.0620,69.0880,37.0840,MM,39.00,FT,55.00,1.00
A,B,COLOMBIA,GUAHIBO-H,N,5.3800,W,DD,68.3100,FE,FMO,O,,26.8650,2571.1400,25.7200,27.7500,337.0580,107.3150,3.0000,26.8100,27.3600,27.7500,27.5600,26.4400,25.8900,25.7200,26.1100,26.6100,27.4400,27.4700,27.2200,C,107.3150,117.4750,113.2840,243.4590,320.1670,337.0580,311.6580,276.2250,202.1840,201.2950,205.1050,135.9150,MM,200.00,FT,606.00,1.00
A,B,COLOMBIA,MANIZALES,N,5.1333,W,DD,75.4667,FMT,,O,,12.7639,2192.7820,12.2778,13.1111,357.8860,87.8840,7.0000,12.7222,12.8889,13.1111,12.7778,13.0000,12.7222,12.8889,12.7778,12.7222,12.2778,12.5000,12.7778,C,127.0000,109.9820,143.0020,263.9060,218.9480,180.0860,87.8840,100.0760,145.0340,357.8860,302.0060,156.9720,MM,8855.00,FT,210.00,7.00
